Make,cc,Age,Gender,DriveStyle,Serviced,Daily_commute,Commute_type,mpg,l_day
Suzuki,2000,51,male,nervous,no,37,highway,40.13051000049,5.186203713769368
Hyundai,2400,74,male,rational,yes,34,highway,35.388850000000005,5.404244557254615
Audi,1000,35,male,nervous,yes,33,urban,68.59931399999999,2.7059308493959575
Skoda,1400,39,male,rational,yes,21,rural,53.99994000000001,2.187502430558256
Seat,1600,29,male,rational,yes,46,rural,47.2499475,5.476196560853322
Ford,2000,42,male,rational,no,46,urban,29.3993793366,8.801206210427573
Peugeot,2000,54,male,rational,no,33,rural,34.01958420042,5.456415895809458
Audi,1600,56,female,rational,no,38,urban,34.999261114999996,6.107271787757569
Seat,2400,30,female,rational,no,41,highway,30.33296296333333,7.603114812053834
Nissan,1300,52,male,rational,yes,46,urban,50.25590769230769,5.148648425259763
Nissan,2000,39,male,rational,no,23,highway,38.219533333799994,3.385049180744061
Ford,2000,27,female,rational,yes,32,urban,31.110799999999998,5.785772143435721
Peugeot,1600,35,female,speedy,no,30,urban,31.499335003499997,5.357255954173305
Toyota,1300,45,female,nervous,yes,47,urban,50.25590769230769,5.260575564939323
Suzuki,1500,48,male,distracted,no,42,urban,39.1991724488,6.026912948444969
Fiat,1000,26,female,distracted,yes,24,urban,62.221599999999995,2.169664553788395
Toyota,1600,29,female,nervous,no,21,highway,47.774416667249994,2.472557662456531
Citroen,1400,28,male,speedy,no,26,urban,37.7992020042,3.8691293002362768
Citroen,1500,34,male,rational,no,25,urban,39.1991724488,3.5874481835981955
Skoda,1400,50,female,rational,no,33,highway,51.99936508,3.569755125171617
Ford,1400,29,male,rational,yes,33,rural,53.99994000000001,3.4375038194486875
Toyota,2000,39,male,rational,no,25,highway,38.219533333799994,3.6794012834174574
Renault,1000,28,female,distracted,yes,27,highway,80.8888,1.8775776127226511
Toyota,1300,30,male,rational,yes,24,highway,65.33326153846153,2.0663288013032357
Suzuki,1500,16,female,rational,no,42,urban,37.33254518933333,6.328258595867217
Opel,2000,36,male,rational,yes,36,urban,32.66634,6.199041582252557
Ford,1300,31,male,rational,yes,27,urban,50.25590769230769,3.0220327713481216
Ford,1400,38,female,rational,yes,21,highway,57.77771428571429,2.04447340052022
Volkswagen,2400,52,female,rational,yes,34,urban,25.925666666666668,7.376859482880543
Toyota,1400,34,male,rational,no,40,highway,54.599333334,4.120929437427551
BMW,1000,62,female,distracted,no,39,highway,72.799111112,3.013429651118897
Mazda,2500,31,male,speedy,yes,29,highway,30.575966400000002,5.335072581712412
Ford,2000,29,male,rational,yes,25,urban,32.66634,4.304889987675387
Hyundai,1000,27,female,rational,yes,21,highway,80.8888,1.4603381432287286
BMW,1500,51,female,distracted,no,31,urban,37.33254518933333,4.670857535044851
Volkswagen,2500,21,male,rational,no,28,urban,23.51950346928,6.696569942716631
Skoda,1600,34,male,rational,no,21,highway,47.774416667249994,2.472557662456531
Volkswagen,1600,29,male,rational,yes,22,urban,40.832924999999996,3.0306425513234725
BMW,1300,50,male,speedy,yes,47,highway,58.79993538461538,4.496178410243151
Kia,2500,62,male,speedy,yes,42,highway,30.575966400000002,7.726656842480045
Volkswagen,2000,33,male,rational,yes,23,urban,32.66634,3.9604987886613556
Dacia,1300,55,female,rational,no,32,urban,43.076013679999996,4.178659644255179
Ford,1500,63,male,rational,yes,42,highway,56.622159999999994,4.172394694939225
Nissan,1500,26,male,rational,no,36,highway,50.9593777784,3.9737533860908534
Skoda,1400,62,male,rational,yes,35,highway,60.6666,3.2451958738416193
Toyota,1300,30,female,speedy,yes,26,urban,43.076492307692305,3.3951232369466555
Toyota,1600,60,male,rational,no,42,urban,36.74922417075,6.428707145007968
Mercedes Benz,2000,24,female,rational,yes,33,rural,35.99996,5.156255729173033
Volkswagen,1500,28,female,rational,yes,21,urban,41.48106666666666,2.8476847268472683
Hyundai,1400,25,female,rational,yes,46,urban,44.444,5.821933219332193
BMW,1600,26,male,rational,yes,31,urban,40.832924999999996,4.270450867773984
Skoda,1600,40,male,rational,yes,47,urban,40.832924999999996,6.474554541463782
Peugeot,1400,68,female,rational,yes,26,urban,44.444,3.2906579065790655
Mazda,2000,64,male,rational,yes,37,urban,32.66634,6.3712371817595725
Toyota,1600,36,male,slow,yes,40,urban,40.832924999999996,5.510259184224496
Skoda,2000,64,female,rational,yes,44,urban,31.110799999999998,7.955436697224116
Renault,1400,38,male,rational,yes,23,urban,46.6662,2.772349152062949
Seat,1600,26,female,rational,yes,32,urban,38.8885,4.628617714748575
Hyundai,2000,37,male,rational,yes,43,urban,32.66634,7.404410778801665
Ford,2000,64,male,rational,no,39,urban,29.3993793366,7.461892221884246
BMW,2000,63,male,rational,no,44,rural,34.01958420042,7.275221194412611
Volkswagen,1300,33,male,speedy,no,31,highway,52.91935384679999,3.2951082604827455
Skoda,1400,29,male,slow,yes,48,highway,60.6666,4.450554341268506
Volvo,2000,47,female,distracted,yes,20,urban,31.110799999999998,3.6161075896473256
Toyota,1000,54,female,rational,no,46,urban,55.998817783999996,4.620633260474476
Ford,1600,44,male,speedy,yes,45,urban,36.7496325,6.887823980280619
Skoda,1600,58,male,speedy,no,36,urban,33.074301753674995,6.1225782333409215
Seat,1600,77,male,rational,no,41,highway,47.774416667249994,4.827374483843704
Hyundai,2400,42,male,rational,no,31,urban,24.499482780500003,7.117497196258819
Volkswagen,2000,33,male,rational,no,27,highway,38.219533333799994,3.9737533860908543
Lexus,1400,62,female,nervous,yes,34,urban,46.6662,4.098255268266968
Opel,2000,27,male,speedy,no,48,highway,34.39758000042001,7.849389404623906
Kia,1600,54,male,rational,no,37,highway,47.774416667249994,4.356411119566269
Toyota,2000,36,female,rational,yes,28,highway,40.4444,3.894235048609943
Volkswagen,1600,20,male,rational,no,29,urban,36.74922417075,4.438869219172168
Dacia,2000,24,male,rational,yes,35,urban,32.66634,6.026845982745542
Skoda,1500,60,female,distracted,yes,48,urban,41.48106666666666,6.508993661365184
Skoda,1300,37,female,rational,yes,28,highway,62.222153846153844,2.531252781596463
Renault,2000,28,male,rational,no,29,urban,29.3993793366,5.548586523965208
Volkswagen,1600,42,female,rational,no,25,highway,45.499444444999995,3.090697078070664
Nissan,1400,34,male,rational,yes,45,rural,53.99994000000001,4.687505208339119
BMW,1300,48,male,speedy,yes,39,highway,58.79993538461538,3.7308714467975084
Nissan,2000,38,male,nervous,yes,30,urban,34.299656999999996,4.919874271629014
Renault,1600,37,male,speedy,yes,22,urban,36.7496325,3.3673806125816363
Citroen,2400,34,male,slow,yes,38,urban,27.221950000000003,7.8521193375199045
Ford,1600,46,female,speedy,no,48,highway,40.949500000499995,6.593487099884083
Skoda,1600,28,male,rational,yes,37,urban,40.832924999999996,5.096989745407658
Citroen,1600,35,female,nervous,yes,22,urban,40.832924999999996,3.0306425513234725
Citroen,2000,22,male,rational,yes,37,highway,42.46662,4.900908054373058
Toyota,2000,43,male,speedy,yes,21,urban,29.399706000000002,4.01789732183036
Renault,1600,47,male,nervous,yes,47,highway,55.737438749999995,4.7432211800367305
Volkswagen,1300,49,female,nervous,no,32,highway,58.799282051999995,3.0612618678033243
Hyundai,1600,56,male,rational,yes,48,highway,53.083275,5.0863478185925795
Hyundai,1300,37,female,rational,yes,26,urban,47.86276923076923,3.0556109132519893
Toyota,2500,28,male,rational,no,23,urban,23.51950346928,5.500753881517233
Nissan,1600,24,male,nervous,no,29,highway,50.16313750061249,3.251889896201334
Ford,1600,25,male,distracted,yes,25,urban,40.832924999999996,3.4439119901403097
Nissan,2000,84,male,distracted,yes,39,urban,32.66634,6.7156283807736035
Nissan,2000,49,female,distracted,yes,48,highway,40.4444,6.675831511902759
Honda,2000,32,male,slow,yes,20,urban,32.66634,3.4439119901403092
Opel,2000,46,male,rational,yes,34,urban,32.66634,5.854650383238526
Nissan,2000,16,female,rational,yes,36,urban,31.110799999999998,6.508993661365186
Hyundai,1400,57,male,rational,yes,22,highway,60.6666,2.039837406414732
Mazda,1600,37,female,rational,yes,46,urban,38.8885,6.653637964951077
Vauxhall,2400,69,female,rational,yes,36,urban,25.925666666666668,7.810792393638222
Suzuki,1500,27,female,rational,no,31,urban,37.33254518933333,4.670857535044851
Toyota,1000,27,female,speedy,no,23,highway,65.5192000008,1.9746120221007017
Mazda,2000,48,male,rational,yes,48,highway,42.46662,6.357934773240724
Toyota,1600,29,female,rational,yes,26,highway,50.555499999999995,2.89286032182453
Ford,1400,34,male,speedy,yes,29,urban,41.99958,3.8839674111026823
Hyundai,2000,24,male,rational,yes,30,highway,42.46662,3.9737092332754527
Ford,1600,35,male,nervous,yes,31,urban,42.874571249999995,4.067096064546651
Volkswagen,1500,25,male,speedy,yes,41,rural,45.3599496,5.084331046082114
Ford,1600,48,male,nervous,yes,22,highway,55.737438749999995,2.220231190655491
Hyundai,2000,37,male,rational,yes,29,highway,42.46662,3.841252258832937
Toyota,2000,22,male,distracted,yes,27,highway,42.46662,3.576338309947907
Kia,1400,52,male,rational,no,42,highway,54.599333334,4.326975909298929
Saab,2000,51,male,speedy,yes,20,urban,30.869691300000003,3.644351312317787
Renault,1300,25,female,speedy,yes,21,urban,43.076492307692305,2.7422149221492216
Hyundai,1600,34,female,rational,yes,49,rural,44.99995,6.1250068055631175
Nissan,1500,27,male,rational,yes,35,urban,43.555119999999995,4.520134487059156
Suzuki,2500,42,male,speedy,yes,23,highway,30.575966400000002,4.23126446135812
Hyundai,1600,37,female,speedy,yes,48,urban,34.999649999999995,7.714362857914294
Volkswagen,1600,22,male,rational,yes,40,rural,47.2499475,4.761910052915932
BMW,1400,27,male,slow,yes,43,highway,60.6666,3.9869549307197034
Subaru,1300,68,male,speedy,yes,38,urban,45.23031692307692,4.725812564248092
Kia,1600,24,male,rational,yes,35,urban,40.832924999999996,4.821476786196434
Ford,2000,15,female,rational,yes,44,highway,40.4444,6.119512219244196
Toyota,2000,36,male,rational,no,24,rural,34.01958420042,3.968302469679606
Skoda,1600,51,male,rational,yes,22,urban,40.832924999999996,3.0306425513234725
Hyundai,2000,52,female,rational,yes,36,highway,40.4444,5.00687363392707
Hyundai,1400,53,male,rational,yes,43,urban,46.6662,5.1830875451611655
Peugeot,1500,33,male,rational,no,37,urban,39.1991724488,5.30942331172533
Ford,2000,36,male,rational,yes,37,highway,42.46662,4.900908054373058
Ford,1500,12,male,speedy,yes,28,rural,45.3599496,3.4722260802512
Renault,2000,25,female,nervous,yes,28,rural,37.799958,4.166671296301441
Skoda,1600,33,female,rational,no,37,highway,45.499444444999995,4.574231675544583
Volkswagen,1300,37,male,rational,yes,42,urban,50.25590769230769,4.700939866541523
Toyota,1600,44,male,rational,yes,38,highway,53.083275,4.026692023052459
Mercedes Benz,1600,43,female,distracted,yes,41,urban,38.8885,5.930416447021612
Skoda,2000,41,female,rational,yes,42,urban,31.110799999999998,7.593825938259384
Nissan,1600,27,male,rational,yes,49,urban,40.832924999999996,6.750067500675007
Toyota,1600,60,female,rational,no,42,highway,45.499444444999995,5.192371091158716
Mercedes Benz,1300,54,male,rational,no,48,highway,58.799282051999995,4.5918928017049865
Kia,1600,58,female,slow,no,21,highway,45.499444444999995,2.596185545579358
Audi,2000,46,male,rational,yes,20,highway,42.46662,2.6491394888503015
Opel,1000,78,female,rational,yes,32,highway,80.8888,2.225277170634253
Skoda,1600,70,male,speedy,yes,38,urban,36.7496325,5.81638469445919
Nissan,1300,25,female,rational,yes,21,urban,47.86276923076923,2.467993429934299
BMW,1000,14,female,rational,no,43,urban,55.998817783999996,4.319287613052228
Peugeot,1400,50,male,rational,no,27,urban,41.999113338,3.6161477690669814
Ford,2000,43,male,rational,yes,41,highway,42.46662,5.430735952143118
Nissan,1300,34,male,speedy,no,29,highway,52.91935384679999,3.082520630774181
Toyota,1600,27,male,rational,yes,44,highway,53.083275,4.6624855003765315
Fiat,1500,44,male,rational,yes,41,highway,56.622159999999994,4.073051964107339
Peugeot,1400,36,female,nervous,yes,44,highway,60.6666,4.079674812829464
Audi,1600,23,female,rational,no,40,highway,45.499444444999995,4.945115324913063
Suzuki,1300,29,female,rational,no,32,urban,43.076013679999996,4.178659644255179
BMW,1400,32,female,speedy,no,47,urban,35.999240003999994,7.34390503717924
Toyota,1400,46,male,rational,yes,34,highway,60.6666,3.1524759917318588
Ford,2000,32,male,rational,yes,47,urban,32.66634,8.093193176829727
BMW,2000,36,male,rational,yes,36,highway,42.46662,4.768451079930543
Ford,1000,46,female,rational,yes,41,highway,80.8888,2.8511363748751366
Seat,1400,31,male,rational,no,45,highway,54.599333334,4.636045617105995
Ford,2000,65,male,speedy,yes,26,highway,38.219958000000005,3.8265348172282128
Renault,2000,56,male,rational,no,43,highway,38.219533333799994,6.328570207478027
Renault,1600,41,female,speedy,no,32,highway,40.949500000499995,4.395658066589389
Audi,1600,54,male,rational,yes,25,urban,40.832924999999996,3.4439119901403097
Vauxhall,2400,50,female,speedy,yes,32,highway,30.3333,5.934072455024675
Toyota,1300,54,male,distracted,yes,24,highway,65.33326153846153,2.0663288013032357
Ford,1500,17,female,speedy,no,41,urban,33.599290670399995,6.863984191284548
Volkswagen,1600,29,female,rational,yes,34,urban,38.8885,4.917906321920362
Volkswagen,2000,36,male,rational,no,22,highway,38.219533333799994,3.2378731294073626
Volkswagen,1400,60,male,rational,no,36,urban,41.999113338,4.821530358755975
Mini,1300,30,male,rational,yes,29,urban,50.25590769230769,3.2458870507072417
Toyota,2000,27,male,slow,yes,36,highway,42.46662,4.768451079930543
Hyundai,1500,42,female,nervous,yes,34,highway,56.622159999999994,3.377652848284135
Renault,2000,25,male,rational,no,44,highway,38.219533333799994,6.475746258814725
Skoda,1500,29,female,rational,no,20,highway,48.53274074133333,2.318022808552998
Citroen,1000,44,male,rational,no,39,highway,76.43906666759999,2.869933001065617
Ford,1600,38,female,rational,yes,42,urban,38.8885,6.075060750607506
Dacia,1600,43,male,rational,yes,22,highway,53.083275,2.3312427501882658
Audi,2000,58,male,rational,yes,41,highway,42.46662,5.430735952143118
Toyota,2000,41,male,speedy,yes,35,highway,38.219958000000005,5.151104561653363
Renault,900,51,male,speedy,yes,43,urban,65.33268,3.7022053894008327
Nissan,1600,50,female,nervous,yes,39,highway,53.083275,4.1326576026064705
Mercedes Benz,1500,19,male,rational,yes,36,urban,43.555119999999995,4.649281186689418
Toyota,2000,73,male,speedy,yes,38,urban,29.399706000000002,7.270480868073986
Nissan,1600,31,male,rational,no,40,urban,36.74922417075,6.1225782333409215
Nissan,1400,29,female,rational,yes,44,rural,51.428514285714286,4.812505347228163
Volkswagen,2000,41,male,rational,yes,48,highway,42.46662,6.357934773240724
Nissan,1600,18,female,speedy,yes,22,urban,34.999649999999995,3.535749643210718
Renault,1500,26,female,rational,no,24,highway,48.53274074133333,2.781627370263598
Honda,2000,67,male,rational,no,40,urban,29.3993793366,7.65322279167615
Audi,1600,40,female,speedy,yes,33,highway,45.49995,4.079674812829464
Audi,1400,36,female,nervous,no,47,highway,54.599333334,4.842092088977373
Ford,1300,40,male,rational,no,41,urban,45.229814364,5.098959684954235
BMW,1300,40,male,rational,yes,46,highway,65.33326153846153,3.9604635358312015
Citroen,2000,24,female,nervous,yes,40,urban,32.66634,6.8878239802806185
Ford,2000,37,male,speedy,yes,39,urban,29.399706000000002,7.461809311970669
Renault,1400,21,female,speedy,yes,48,highway,51.999942857142855,5.192313398146591
Nissan,2000,29,male,speedy,yes,42,urban,29.399706000000002,8.03579464366072
Hyundai,1600,40,female,rational,yes,29,urban,38.8885,4.194684803990897
Honda,2000,74,female,rational,no,39,highway,36.399555556,6.026859302237794
Fiat,1300,25,male,rational,yes,42,urban,50.25590769230769,4.700939866541523
Kia,1600,44,male,rational,no,29,highway,47.774416667249994,3.4144843910114
Renault,1500,68,female,rational,yes,31,highway,53.92586666666666,3.2336058885779
Mazda,1400,20,male,speedy,yes,43,urban,41.99958,5.758986161290184
Ford,1300,58,female,rational,yes,44,highway,62.222153846153844,3.9776829425087277
Ford,1600,27,female,rational,no,27,urban,34.999261114999996,4.339377322880378
Volkswagen,1400,24,male,speedy,yes,47,highway,54.599940000000004,4.8420382879541615
Opel,1400,56,male,rational,yes,49,urban,46.6662,5.906309063090631
Mercedes Benz,1600,40,male,rational,no,23,highway,47.774416667249994,2.708039344595248
Kia,2000,21,male,speedy,yes,37,urban,29.399706000000002,7.079152424177302
Opel,1600,29,male,rational,no,48,urban,36.74922417075,7.347093880009106
Nissan,1600,59,male,rational,no,42,urban,36.74922417075,6.428707145007968
Opel,2000,25,male,rational,no,28,urban,29.3993793366,5.357255954173305
Ford,2000,25,female,rational,yes,36,rural,35.99996,5.625006250006945
Honda,2000,20,female,speedy,yes,30,urban,27.99972,6.026845982745542
Lexus,1600,61,male,rational,no,27,urban,36.74922417075,4.132740307505122
Peugeot,2000,74,male,speedy,no,29,highway,34.39758000042001,4.742339431960277
Skoda,1500,54,male,distracted,yes,29,urban,43.555119999999995,3.7452542892775864
Toyota,1000,28,female,rational,yes,33,highway,80.8888,2.2948170822165737
Ford,2000,58,female,nervous,yes,25,highway,42.46662,3.311424361062877
Peugeot,1400,70,female,speedy,yes,28,urban,39.9996,3.937539375393754
Skoda,2000,63,female,speedy,yes,41,urban,27.99972,8.23668950975224
Renault,1300,35,male,speedy,yes,44,highway,58.79993538461538,4.209188298951035
Nissan,1600,29,male,nervous,no,24,urban,38.586685379287495,3.4986161333376695
Mitsubishi,1500,27,male,rational,yes,28,urban,43.555119999999995,3.6161075896473247
Toyota,2000,72,female,distracted,yes,28,urban,31.110799999999998,5.062550625506256
Seat,1400,20,female,rational,yes,38,highway,57.77771428571429,3.6995232961794455
Kia,1300,53,male,rational,no,28,highway,58.799282051999995,2.678604134327909
Peugeot,2000,33,female,rational,yes,31,urban,31.110799999999998,5.604966763953355
Peugeot,2000,44,female,rational,yes,23,highway,40.4444,3.198835932786739
Hyundai,1600,32,female,rational,yes,43,urban,38.8885,6.2197050541933985
Volkswagen,2000,33,female,rational,yes,21,highway,40.4444,2.920676286457457
Volkswagen,1600,37,male,rational,yes,34,highway,53.083275,3.6028297048364104
Toyota,2500,58,female,speedy,no,45,urban,20.15957440224,12.556068642593685
Nissan,1500,39,female,rational,yes,20,urban,41.48106666666666,2.7120806922354936
Volkswagen,1500,52,male,rational,yes,32,urban,43.555119999999995,4.132694388168371
Skoda,1000,18,male,distracted,yes,39,urban,65.33268,3.3578141903868017
Nissan,2000,63,female,rational,no,40,rural,32.399604000400004,6.944529321939309
Dacia,1500,47,male,rational,no,42,highway,50.9593777784,4.636045617105996
Nissan,1600,54,male,speedy,yes,29,highway,47.774947499999996,3.4144464522959446
BMW,1400,57,female,slow,yes,20,highway,57.77771428571429,1.9471175243049714
Ford,2000,32,female,rational,yes,46,highway,40.4444,6.397671865573478
Renault,1600,33,male,slow,yes,40,urban,40.832924999999996,5.510259184224496
Nissan,1000,26,female,rational,yes,27,urban,62.221599999999995,2.440872623011945
BMW,2000,38,female,rational,yes,49,highway,40.4444,6.8149113350674
BMW,1500,22,male,rational,yes,44,highway,56.622159999999994,4.371080156602998
Nissan,2000,31,male,speedy,yes,39,highway,38.219958000000005,5.739802225842319
Kia,2000,62,female,rational,yes,33,rural,35.99996,5.156255729173033
Hyundai,2000,47,male,rational,yes,22,urban,32.66634,3.78830318915434
Kia,1500,17,female,nervous,yes,44,urban,43.555119999999995,5.682454783731511
Mercedes Benz,2400,53,female,speedy,yes,48,highway,30.3333,8.901108682537012
Fiat,2000,47,male,rational,yes,48,urban,32.66634,8.265388776336742
Volkswagen,1300,59,female,rational,yes,22,urban,47.86276923076923,2.5855169265978373
Opel,1500,37,male,rational,yes,47,urban,43.555119999999995,6.069894882622295
Volkswagen,1500,70,male,rational,no,30,highway,50.9593777784,3.3114611550757114
Opel,2000,27,female,rational,yes,31,urban,31.110799999999998,5.604966763953355
Peugeot,1500,37,male,slow,yes,31,highway,56.622159999999994,3.079624655788476
Opel,1500,52,male,rational,yes,39,urban,43.555119999999995,5.036721285580202
Skoda,1000,25,male,rational,yes,48,highway,84.93324,3.178967386620362
Toyota,1600,41,male,rational,yes,34,highway,53.083275,3.6028297048364104
Toyota,2000,28,female,rational,yes,30,highway,40.4444,4.172394694939224
Citroen,1300,44,female,rational,yes,36,highway,62.222153846153844,3.2544678620525955
Hyundai,900,35,male,rational,yes,27,urban,72.59186666666666,2.092176534010238
Honda,2000,32,female,rational,yes,24,highway,40.4444,3.3379157559513795
Suzuki,1300,56,female,rational,no,22,highway,55.99931624,2.2098484108205247
Renault,1300,48,male,speedy,yes,35,highway,58.79993538461538,3.348217965074687
Ford,1300,57,female,slow,yes,31,highway,62.222153846153844,2.8024584367675125
BMW,1600,54,male,speedy,yes,20,highway,47.774947499999996,2.354790656755824
Toyota,1400,51,female,rational,no,40,urban,39.99915556,5.625118751881971
Vauxhall,2000,42,male,rational,yes,35,highway,42.46662,4.635994105488028
Toyota,1600,62,female,rational,yes,25,rural,44.99995,3.1250034722260804
Opel,1300,36,female,rational,yes,30,highway,62.222153846153844,2.712056551710496
Dacia,2000,39,male,rational,yes,24,urban,32.66634,4.132694388168371
Volvo,1600,26,male,rational,yes,47,highway,53.083275,4.980382239038567
Peugeot,2000,43,female,speedy,no,37,highway,32.7596000004,6.353099549367475
Vauxhall,1500,43,female,speedy,yes,30,highway,48.53328,3.476995579116021
Citroen,1600,49,female,rational,yes,46,urban,38.8885,6.653637964951077
Audi,1600,26,female,rational,yes,26,highway,50.555499999999995,2.89286032182453
Ford,1500,71,male,speedy,yes,30,highway,50.95994399999999,3.311424361062878
Opel,900,55,male,rational,yes,28,highway,94.37026666666665,1.6689578779756902
Volkswagen,1600,29,male,speedy,yes,41,urban,36.7496325,6.275572959811231
Volkswagen,1300,48,male,distracted,yes,43,urban,50.25590769230769,4.812867006221083
Toyota,1600,26,female,rational,yes,35,urban,38.8885,5.062550625506255
Toyota,1300,79,female,rational,yes,33,urban,47.86276923076923,3.8782753898967557
BMW,2500,38,female,rational,yes,25,urban,24.88864,5.650168108823946
Toyota,1500,47,male,rational,yes,27,rural,50.399944,3.013396205360863
Opel,2400,51,female,rational,no,39,rural,26.99967000033333,8.125099306668995
Renault,1300,59,female,distracted,no,40,highway,55.99931624,4.017906201491863
Renault,1600,56,male,rational,no,49,rural,42.524480250524995,6.481560700476691
Skoda,2000,36,male,rational,yes,22,highway,42.46662,2.914053437735332
Skoda,1600,30,female,speedy,yes,22,highway,45.49995,2.719783208552976
Hyundai,900,38,male,rational,no,40,highway,84.93229629733332,2.6491689240605694
Vauxhall,1600,37,male,rational,yes,25,highway,53.083275,2.649139488850302
Renault,2400,29,male,rational,no,48,urban,24.499482780500003,11.020640820013655
Toyota,1400,35,female,rational,no,30,urban,39.99915556,4.218839063911479
Volkswagen,1600,20,male,rational,no,36,highway,47.774416667249994,4.238670278496911
Skoda,1600,37,female,nervous,no,20,urban,36.74922417075,3.0612891166704608
Nissan,2000,63,male,rational,yes,24,highway,42.46662,3.178967386620362
Toyota,1300,38,female,rational,no,47,highway,55.99931624,4.7210397867529394
Ford,1600,70,male,rational,no,40,urban,36.74922417075,6.1225782333409215
BMW,1600,50,male,rational,yes,30,highway,53.083275,3.178967386620362
BMW,1000,59,male,distracted,no,40,highway,76.43906666759999,2.943521026733966
Audi,1600,65,male,nervous,yes,21,highway,55.737438749999995,2.1193115910802414
Honda,2000,52,female,rational,yes,25,highway,40.4444,3.4769955791160205
Ford,1600,22,female,rational,yes,42,urban,38.8885,6.075060750607506
Nissan,1400,30,male,nervous,yes,41,highway,63.69993,3.6204906347620787
Hyundai,2000,32,male,rational,yes,42,highway,42.46662,5.563192926585634
Opel,1300,36,female,rational,yes,49,highway,62.222153846153844,4.429692367793811
Hyundai,2400,41,male,slow,yes,23,highway,35.388850000000005,3.655812494613416
Peugeot,1400,18,male,rational,no,45,urban,41.999113338,6.026912948444969
Land Rover,2000,29,female,rational,yes,25,urban,31.110799999999998,4.520134487059157
Land Rover,2000,26,female,slow,no,32,urban,27.999408891999998,6.428707145007968
Skoda,2000,43,female,speedy,yes,23,urban,27.99972,4.620581920104915
Opel,2000,43,female,speedy,yes,20,highway,36.39996,3.0906627369920185
Ford,2000,59,male,rational,yes,27,highway,42.46662,3.576338309947907
Audi,1600,35,female,rational,yes,22,urban,38.8885,3.1821746788896457
Seat,1000,39,female,rational,yes,44,highway,80.8888,3.059756109622098
Audi,2000,30,female,rational,yes,35,highway,40.4444,4.867793810762429
Volkswagen,1000,21,male,nervous,yes,46,urban,68.59931399999999,3.771903608248911
Volkswagen,1500,48,male,rational,yes,29,highway,56.622159999999994,2.880939194124703
Renault,2000,40,male,rational,no,37,urban,29.3993793366,7.0792310823004385
Mini,1600,44,male,rational,no,25,highway,47.774416667249994,2.9435210267339658
Peugeot,1300,43,male,rational,no,47,highway,58.799282051999995,4.496228368336133
Peugeot,1300,60,male,speedy,no,23,urban,40.7068329276,3.178213353765513
Volkswagen,1600,40,female,rational,yes,48,highway,50.555499999999995,5.340665209522209
Nissan,1600,36,male,rational,yes,31,highway,53.083275,3.2849329661743742
BMW,2400,37,female,rational,no,26,highway,30.33296296333333,4.821487441790236
Kia,2000,51,female,rational,yes,40,rural,35.99996,6.250006944452161
Volkswagen,1000,36,female,rational,no,24,highway,72.799111112,1.854418246842398
Kia,1600,38,male,rational,yes,20,urban,40.832924999999996,2.755129592112248
Opel,1500,27,male,speedy,no,30,urban,35.27925520392,4.783264244797595
BMW,1600,48,female,speedy,no,20,highway,40.949500000499995,2.747286291618368
BMW,2000,25,male,rational,yes,28,highway,42.46662,3.708795284390422
Opel,2000,41,female,distracted,yes,48,highway,40.4444,6.675831511902759
Mini,2400,55,male,rational,yes,25,highway,35.388850000000005,3.9737092332754522
Mercedes Benz,1600,42,female,rational,yes,22,highway,50.555499999999995,2.447804887697679
Mazda,2000,52,male,rational,yes,23,highway,42.46662,3.046510412177847
Volkswagen,2000,20,male,speedy,no,24,rural,30.617625780378006,4.409224966310672
Hyundai,1300,36,male,rational,yes,40,highway,65.33326153846153,3.4438813355053925
Volkswagen,2000,37,male,speedy,no,21,urban,26.45944140294,4.464379961811088
BMW,2000,63,female,rational,yes,32,highway,40.4444,4.450554341268506
Nissan,1300,35,male,rational,yes,44,urban,50.25590769230769,4.924794145900643
Volkswagen,1300,57,female,distracted,yes,46,urban,47.86276923076923,5.40608084652275
Vauxhall,1500,34,male,speedy,yes,40,urban,39.199608,5.739853316900516
Volkswagen,1000,20,male,rational,yes,33,highway,84.93324,2.1855400783014987
Volkswagen,2000,58,female,rational,yes,36,urban,31.110799999999998,6.508993661365186
Renault,1600,65,male,rational,no,41,highway,47.774416667249994,4.827374483843704
Kia,1600,39,male,rational,yes,22,urban,40.832924999999996,3.0306425513234725
Honda,1600,25,female,rational,yes,40,urban,38.8885,5.785772143435719
Skoda,1500,55,male,speedy,yes,35,urban,39.199608,5.022371652287951
Toyota,2000,46,female,rational,no,30,highway,36.399555556,4.636045617105995
Nissan,1300,61,male,rational,yes,39,highway,65.33326153846153,3.357784302117758
Skoda,2000,73,male,rational,yes,40,highway,42.46662,5.298278977700603
Ford,1300,58,female,rational,yes,47,rural,55.38455384615385,4.773442803825336
Audi,1500,64,male,rational,no,48,rural,45.35944560056,5.952453704519409
Opel,2000,37,female,rational,yes,26,urban,31.110799999999998,4.700939866541523
Hyundai,1400,45,female,rational,no,46,highway,51.99936508,4.9760222956937685
Ford,1400,27,male,speedy,yes,27,highway,54.599940000000004,2.781596463292816
Peugeot,1500,45,female,nervous,yes,21,highway,56.622159999999994,2.0861973474696125
Peugeot,1500,50,male,speedy,yes,44,highway,50.95994399999999,4.856755729558888
Hyundai,1600,78,male,distracted,no,36,highway,47.774416667249994,4.238670278496911
Audi,2000,64,male,rational,yes,39,urban,32.66634,6.7156283807736035
