Make,cc,Age,Gender,DriveStyle,Serviced,distance,Commute_type
Audi,1600,48,female,speedy,no,36,urban
Ford,1400,22,female,nervous,yes,40,highway
Peugeot,2000,70,male,slow,yes,39,highway
Nissan,2000,28,male,rational,no,39,highway
Ford,1400,62,male,rational,no,25,highway
Mazda,1600,37,male,rational,no,38,urban
Toyota,2000,41,male,speedy,yes,41,highway
Citroen,1300,61,female,rational,yes,41,urban
Renault,1600,21,male,rational,yes,34,highway
Toyota,1300,30,male,nervous,yes,29,urban
Toyota,1600,65,male,rational,yes,39,urban
Hyundai,2400,57,female,rational,yes,48,urban
Ford,2000,29,female,speedy,yes,37,highway
Volkswagen,2000,54,male,rational,yes,44,highway
Volkswagen,1500,21,female,rational,yes,49,highway
Volkswagen,2000,50,male,rational,yes,27,highway
Audi,2000,59,male,nervous,yes,39,highway
Skoda,2000,16,female,rational,yes,29,urban
Renault,1600,21,male,speedy,yes,43,highway
BMW,2000,36,male,rational,yes,36,highway
Nissan,2000,47,female,rational,yes,37,urban
Volkswagen,1500,71,female,rational,no,29,urban
Mercedes Benz,1400,36,female,speedy,yes,40,highway
Skoda,1300,51,male,speedy,no,30,urban
Audi,1300,16,female,speedy,yes,48,highway
Land Rover,1300,72,male,distracted,yes,46,urban
Ford,1400,27,male,rational,no,26,urban
Volkswagen,2000,32,male,rational,no,49,urban
Peugeot,2000,34,female,nervous,yes,40,highway
Renault,1300,64,female,rational,no,31,urban
Ford,1600,41,female,rational,no,42,rural
Ford,1600,29,male,speedy,no,37,urban
Toyota,2000,50,female,rational,yes,44,highway
Ford,1300,38,male,rational,yes,28,rural
Mercedes Benz,>2400,51,male,rational,no,42,highway
Hyundai,2000,27,male,nervous,yes,36,urban
Peugeot,1500,53,male,rational,no,30,urban
Peugeot,1500,66,male,distracted,yes,29,highway
Toyota,2000,29,female,distracted,yes,38,urban
Opel,2000,37,male,rational,yes,40,highway
Audi,1000,33,female,rational,no,46,urban
Volkswagen,1500,51,male,rational,no,33,highway
Ford,>2400,57,male,nervous,yes,27,highway
Ford,1300,70,male,nervous,yes,31,urban
Hyundai,1500,38,male,speedy,no,39,rural
Toyota,1000,48,female,speedy,no,41,highway
Mini,2000,35,male,rational,yes,39,rural
Volvo,2000,48,female,rational,yes,45,urban
Ford,1600,43,female,speedy,no,36,highway
Ford,1500,58,male,speedy,no,26,urban
Volkswagen,1600,47,male,nervous,yes,47,highway
Toyota,2400,26,male,rational,yes,49,highway
Citroen,1500,55,male,rational,no,35,urban
Mazda,1000,54,male,speedy,yes,28,urban
Peugeot,2400,25,female,slow,yes,26,urban
Toyota,1500,64,male,rational,yes,42,highway
Renault,2000,29,male,rational,yes,42,rural
Skoda,2000,43,male,rational,yes,44,highway
Ford,>2400,35,male,speedy,yes,46,urban
Skoda,2000,56,female,rational,yes,43,highway
Hyundai,1600,79,female,speedy,no,47,highway
Honda,1600,36,male,distracted,yes,31,urban
Renault,1300,53,female,distracted,yes,39,highway
Skoda,1500,56,male,rational,yes,38,urban
Volkswagen,1500,53,male,rational,no,34,urban
Volkswagen,2000,20,female,rational,no,28,urban
Hyundai,2000,29,female,rational,yes,48,highway
Hyundai,2000,53,female,rational,no,29,highway
Nissan,2000,55,female,rational,yes,40,urban
Chevrolet,1600,27,female,rational,no,48,highway
Jaguar,2000,80,female,speedy,yes,38,highway
Volkswagen,1600,31,male,slow,yes,32,highway
Dacia,1400,20,male,rational,no,42,highway
Mercedes Benz,1600,69,male,rational,no,43,highway
Nissan,1400,40,female,speedy,yes,49,highway
Hyundai,1300,30,female,nervous,yes,39,rural
Audi,1000,40,female,speedy,no,35,urban
Ford,2000,37,female,speedy,yes,26,highway
BMW,2000,23,female,rational,yes,49,highway
Skoda,1500,44,male,rational,yes,36,highway
Volkswagen,2000,58,male,rational,yes,38,highway
Hyundai,1500,44,female,rational,yes,40,urban
Ford,1600,32,male,nervous,yes,28,urban
Nissan,1300,27,male,rational,yes,42,urban
Toyota,2000,29,female,speedy,yes,32,urban
Ford,>2400,57,female,rational,yes,35,highway
Skoda,1300,25,female,rational,yes,46,highway
Audi,1400,76,male,rational,yes,46,urban
Ford,1000,33,male,rational,yes,43,urban
BMW,2000,32,female,speedy,yes,48,highway
Peugeot,1600,33,male,rational,no,29,urban
Seat,1600,29,male,speedy,no,34,highway
Opel,1300,28,female,speedy,no,34,highway
Ford,2000,63,male,rational,yes,30,highway
BMW,2000,35,female,nervous,yes,40,rural
Nissan,1600,52,male,rational,yes,46,highway
Audi,1300,37,male,distracted,yes,27,highway
Volkswagen,1600,35,female,distracted,yes,28,highway
Volkswagen,1500,56,female,rational,yes,34,urban
Ford,1500,28,male,rational,no,49,urban
Mini,1600,40,female,speedy,yes,34,highway
Nissan,1400,54,female,speedy,no,35,highway
BMW,1300,72,female,speedy,yes,32,highway
Dacia,2000,50,female,rational,yes,29,urban
Hyundai,1300,19,male,rational,yes,36,highway
Volkswagen,2400,25,male,speedy,yes,34,highway
Audi,1300,37,female,rational,yes,32,highway
Toyota,1300,64,male,rational,no,48,urban
Volkswagen,1600,31,male,rational,yes,34,rural
Hyundai,1600,24,female,speedy,no,38,highway
Peugeot,1500,53,female,speedy,no,27,highway
Ford,1500,35,male,distracted,yes,30,highway
Vauxhall,1600,44,female,rational,yes,27,highway
Volkswagen,2000,29,male,rational,yes,28,urban
Nissan,2000,24,male,rational,yes,45,highway
Audi,1600,29,female,rational,no,29,rural
Audi,1600,57,male,rational,yes,30,highway
Nissan,2000,28,female,rational,no,37,urban
Jaguar,1600,64,female,rational,no,48,urban
Nissan,1500,28,female,rational,no,25,highway
Toyota,2000,28,female,speedy,yes,41,urban
Hyundai,2000,49,female,rational,yes,46,highway
Mazda,1500,22,female,nervous,yes,34,urban
Hyundai,1400,70,female,distracted,no,45,highway
Ford,2000,23,male,rational,yes,33,urban
Volkswagen,2000,40,male,speedy,no,40,highway
Suzuki,1500,47,female,distracted,yes,44,highway
Volkswagen,2000,35,male,rational,yes,47,urban
Land Rover,1600,57,male,rational,no,41,urban
Toyota,1300,48,female,rational,yes,44,urban
Kia,2000,71,male,speedy,yes,42,highway
BMW,1000,32,male,speedy,yes,27,urban
Nissan,1000,50,female,rational,yes,42,rural
Citroen,1300,27,female,rational,no,30,urban
Ford,1600,28,female,rational,yes,42,urban
Volkswagen,1300,41,female,rational,yes,41,highway
Ford,2000,61,male,rational,yes,29,urban
Nissan,1600,61,male,slow,no,28,rural
Hyundai,2000,79,female,rational,no,30,highway
Audi,2000,38,male,rational,no,45,highway
Opel,1500,38,male,speedy,no,25,highway
Opel,1600,47,male,distracted,yes,32,highway
Ford,1600,23,female,rational,no,42,urban
Nissan,2000,39,male,distracted,yes,45,urban
Ford,1500,29,female,rational,yes,46,rural
Volkswagen,1500,29,male,rational,yes,32,urban
Ford,2400,40,female,rational,no,41,urban
Volkswagen,1300,46,male,slow,no,27,highway
Toyota,1600,61,female,distracted,yes,35,urban
Volkswagen,2000,52,male,rational,yes,41,rural
Honda,1300,79,female,speedy,yes,48,rural
Volkswagen,1600,56,female,speedy,yes,49,highway
Toyota,2000,41,female,rational,yes,32,rural
Citroen,1600,44,male,rational,yes,43,urban
Volkswagen,1600,75,male,rational,yes,40,highway
Mazda,2000,22,female,distracted,yes,49,highway
Peugeot,1600,36,female,speedy,yes,44,highway
Volkswagen,2000,48,male,rational,yes,28,urban
Toyota,2000,16,male,rational,yes,27,urban
Ford,1500,56,female,nervous,no,28,urban
Ford,2000,27,female,speedy,yes,34,highway
Renault,1400,29,male,speedy,yes,25,urban
Toyota,1600,53,female,rational,no,41,rural
Audi,1400,23,male,distracted,yes,29,highway
Hyundai,2400,32,female,rational,yes,27,highway
Toyota,1600,74,male,speedy,yes,27,urban
Hyundai,2000,27,male,rational,yes,38,urban
Opel,1600,13,male,rational,no,32,urban
Volkswagen,2000,33,male,rational,yes,49,highway
Hyundai,2000,46,female,distracted,no,39,highway
Hyundai,1300,39,male,rational,yes,44,urban
Ford,2000,44,male,speedy,no,45,urban
Hyundai,2000,27,male,rational,yes,32,highway
Volvo,1600,32,female,speedy,yes,32,highway
Ford,1300,63,male,rational,yes,31,urban
Honda,1600,42,male,speedy,no,28,rural
Ford,2400,48,female,rational,yes,42,urban
Renault,1400,53,male,rational,no,44,urban
Land Rover,1300,18,male,rational,no,35,highway
Nissan,1600,64,female,nervous,no,32,urban
Citroen,1600,24,male,rational,yes,28,highway
Skoda,1600,60,male,nervous,yes,31,highway
Renault,1500,51,male,rational,no,48,highway
Audi,2000,55,female,rational,yes,48,highway
Volkswagen,1600,70,male,rational,yes,41,highway
Toyota,1300,49,male,rational,yes,29,highway
Seat,1000,51,male,nervous,yes,37,highway
Volkswagen,1400,21,male,nervous,yes,35,highway
Mercedes Benz,>2400,26,male,speedy,no,39,urban
Audi,2000,62,male,rational,no,42,highway
Toyota,2000,42,male,rational,yes,43,highway
Volkswagen,1600,39,female,rational,yes,43,highway
Volkswagen,1400,19,female,rational,yes,27,urban
Citroen,1600,30,female,rational,no,38,urban
Kia,1400,63,male,nervous,no,45,highway
Volkswagen,2000,32,female,rational,yes,39,urban
Kia,1300,40,male,rational,yes,47,highway
Nissan,1400,50,male,rational,yes,31,highway
Ford,2000,52,female,speedy,yes,41,highway
Honda,1500,27,male,speedy,yes,49,highway
Toyota,1600,56,male,rational,no,49,highway
Nissan,1400,44,female,rational,no,28,urban
Volkswagen,1500,63,female,speedy,no,46,urban
Toyota,2000,66,male,speedy,yes,33,highway
Nissan,1300,32,male,distracted,yes,42,highway
Audi,1400,23,female,rational,yes,32,highway
Mini,1500,84,female,speedy,yes,36,urban
Lexus,1300,23,male,rational,yes,29,highway
Volkswagen,2000,33,male,rational,yes,36,highway
Nissan,2000,39,male,rational,yes,40,highway
Audi,1300,52,female,rational,no,40,highway
Honda,1600,37,male,rational,yes,32,urban
Hyundai,1400,63,male,rational,yes,32,urban
Volkswagen,2000,44,male,speedy,yes,48,highway
Suzuki,2400,61,female,rational,no,25,urban
Honda,2000,22,female,speedy,no,41,urban
Skoda,1600,51,male,speedy,no,26,highway
Volkswagen,2000,41,male,speedy,yes,43,highway
Honda,1600,48,male,speedy,yes,48,rural
Peugeot,2000,33,male,rational,yes,30,highway
Citroen,1400,26,male,nervous,yes,28,rural
Vauxhall,2000,45,male,nervous,yes,41,highway
Ford,1300,48,male,speedy,yes,40,highway
Land Rover,1600,30,male,slow,yes,49,highway
Nissan,1500,32,male,rational,no,26,highway
Seat,2400,53,female,rational,no,44,highway
Suzuki,1600,44,male,rational,no,44,urban
Toyota,1500,25,male,rational,no,26,urban
Nissan,1600,49,male,slow,no,29,urban
Nissan,1300,22,female,distracted,no,29,urban
Ford,2000,41,male,speedy,yes,45,highway
Audi,1400,48,female,speedy,yes,38,urban
Toyota,2000,56,male,rational,yes,39,highway
Mini,1500,45,male,rational,yes,32,urban
Volkswagen,1600,73,male,nervous,yes,33,urban
Nissan,1400,25,male,speedy,yes,27,highway
Ford,1400,58,female,rational,yes,26,highway
Peugeot,1600,22,female,rational,yes,38,highway
Ford,1400,44,female,rational,yes,28,urban
Skoda,2000,50,male,rational,yes,47,urban
Ford,1500,41,male,speedy,yes,45,urban
Land Rover,1300,27,male,distracted,yes,44,highway
Peugeot,1500,44,female,speedy,no,38,urban
Mitsubishi,1600,37,female,rational,no,34,urban
Peugeot,1600,16,male,rational,yes,27,highway
Honda,>2400,56,male,speedy,yes,37,highway
Kia,1600,35,male,rational,no,37,highway
Peugeot,2000,30,male,speedy,no,36,urban
Peugeot,2000,62,female,rational,no,28,rural
Toyota,1400,32,male,rational,no,49,urban
Audi,1600,56,female,distracted,yes,47,urban
Mazda,1600,44,female,slow,yes,32,urban
Dacia,1600,48,male,nervous,no,36,urban
Dacia,2000,45,male,slow,yes,37,highway
Volkswagen,2000,48,female,rational,yes,27,urban
Volkswagen,1600,31,male,rational,yes,37,urban
Audi,2000,42,male,speedy,no,48,highway
Volvo,1600,39,female,speedy,no,33,highway
Hyundai,2000,30,female,rational,yes,37,highway
Volkswagen,1300,46,male,distracted,no,34,urban
Skoda,1300,38,female,rational,no,34,highway
Ford,1300,43,male,speedy,yes,42,urban
Skoda,1000,26,male,rational,yes,25,highway
Volkswagen,1400,27,male,distracted,no,39,urban
Audi,2000,45,male,rational,yes,33,highway
Volvo,1500,76,male,speedy,no,44,rural
BMW,1000,27,male,slow,no,26,highway
Nissan,1300,28,male,rational,yes,31,urban
Vauxhall,1600,47,female,rational,no,44,urban
Nissan,1400,49,male,distracted,yes,42,highway
Renault,1600,53,female,rational,yes,46,urban
Toyota,2400,30,male,distracted,yes,37,rural
Ford,2000,40,male,rational,yes,38,urban
Kia,1500,82,male,rational,no,46,urban
Mazda,1600,63,male,speedy,yes,49,urban
BMW,1500,35,male,distracted,yes,46,highway
Ford,1000,61,male,speedy,yes,34,highway
Vauxhall,1600,70,female,speedy,yes,32,urban
Kia,1600,16,female,rational,yes,30,highway
Renault,2000,44,male,rational,yes,38,highway
Volkswagen,1600,41,female,rational,yes,25,urban
Dacia,2000,36,male,rational,yes,44,urban
Toyota,2400,64,male,rational,no,49,urban
Volkswagen,1500,58,female,rational,no,45,rural
Dacia,1600,30,male,rational,yes,48,highway
Volkswagen,2000,31,male,speedy,yes,34,highway
Volkswagen,2000,53,male,rational,yes,26,urban
Hyundai,2000,38,male,speedy,yes,36,rural
Opel,2400,47,female,rational,no,39,highway
Audi,1000,21,female,rational,yes,28,urban
Lexus,2000,48,female,rational,yes,28,highway
Vauxhall,1500,51,male,rational,yes,38,urban
Kia,2400,45,male,nervous,yes,49,highway
Nissan,1600,42,female,rational,no,44,urban
Volkswagen,1300,46,male,rational,yes,49,highway
Volkswagen,2000,33,male,speedy,yes,42,urban
Audi,2000,43,male,speedy,no,31,highway
Toyota,2000,64,female,distracted,yes,44,highway
Ford,>2400,31,female,slow,yes,44,urban
Citroen,1600,46,male,rational,yes,30,urban
Ford,1600,62,male,rational,yes,26,highway
Audi,1300,38,male,speedy,yes,44,highway
Hyundai,1600,27,male,speedy,no,26,highway
Toyota,2000,69,male,rational,yes,46,rural
Dacia,2000,54,male,speedy,yes,38,highway
Vauxhall,1300,29,male,speedy,yes,29,highway
Nissan,1400,45,female,rational,no,33,rural
Seat,1600,57,male,rational,yes,34,urban
Peugeot,1600,56,male,rational,no,33,urban
Suzuki,2000,73,female,rational,yes,44,highway
Kia,1300,47,female,speedy,yes,41,urban
Hyundai,1600,60,female,rational,no,49,highway
Renault,1300,20,male,rational,yes,28,urban
Ford,1000,34,male,speedy,yes,28,urban
Hyundai,2000,29,male,nervous,yes,30,urban
Ford,2000,52,male,distracted,yes,35,urban
BMW,2000,28,male,rational,no,29,rural
Volkswagen,1600,42,female,speedy,no,36,highway
Opel,1300,64,male,distracted,yes,42,highway
Hyundai,1600,70,female,speedy,yes,45,rural
Dacia,1000,49,female,slow,no,40,urban
Honda,1300,58,female,distracted,yes,32,highway
Dacia,1600,40,male,rational,yes,34,urban
BMW,2000,59,male,rational,yes,26,highway
Volkswagen,1400,63,male,distracted,yes,28,urban
Volkswagen,2000,48,male,speedy,no,38,urban
Toyota,1500,65,female,nervous,yes,34,urban
Suzuki,2000,28,male,rational,yes,40,highway
Hyundai,2000,58,female,speedy,yes,41,highway
Kia,2000,40,male,rational,yes,40,highway
Toyota,1600,22,male,rational,yes,46,rural
Dacia,1300,55,female,rational,no,49,highway
Opel,1500,46,male,speedy,yes,43,highway
Hyundai,1500,57,female,speedy,no,33,urban
Peugeot,1600,62,male,nervous,yes,28,rural
Fiat,1300,23,female,nervous,yes,37,highway
Peugeot,1600,25,male,speedy,no,31,highway
Ford,1600,84,female,distracted,yes,26,urban
Skoda,1000,62,male,rational,yes,26,highway
Hyundai,1600,34,male,speedy,yes,47,urban
Volkswagen,2000,38,female,rational,no,46,highway
Skoda,2000,55,male,speedy,yes,28,urban
Ford,1400,32,female,speedy,no,43,urban
Kia,2000,34,male,nervous,yes,41,urban
Mazda,2000,23,male,rational,yes,42,highway
Opel,2000,28,male,speedy,no,43,highway
Nissan,1600,25,male,rational,yes,41,urban
Volkswagen,1600,43,male,nervous,no,49,urban
Audi,2000,73,male,rational,yes,48,highway
Toyota,1500,49,female,rational,yes,46,highway
Kia,2400,44,female,rational,yes,48,urban
Volkswagen,1600,51,male,rational,yes,43,urban
Volkswagen,2000,36,female,distracted,yes,34,urban
Ford,2000,45,male,rational,no,31,urban
BMW,2000,16,male,speedy,yes,41,urban
Renault,1600,70,male,rational,yes,38,urban
Ford,1600,42,female,rational,yes,40,urban
Citroen,2400,62,male,speedy,yes,25,highway
Saab,1600,66,female,speedy,no,45,highway
Seat,1000,33,male,rational,no,46,urban
Seat,2000,63,female,rational,yes,39,rural
Audi,1300,73,male,speedy,yes,40,highway
Nissan,2000,78,male,rational,yes,41,urban
Ford,1300,55,male,speedy,yes,26,urban
Volkswagen,2400,43,female,rational,no,48,highway
Lexus,1400,29,female,rational,yes,38,highway
Citroen,2000,21,male,speedy,no,31,highway
Toyota,1600,43,male,rational,no,44,urban
Peugeot,2000,32,female,rational,no,40,highway
Toyota,1600,41,male,speedy,no,26,urban
Vauxhall,2000,22,female,rational,yes,36,highway
Audi,1400,21,male,distracted,yes,30,highway
Skoda,1500,28,male,speedy,yes,48,highway
Ford,1500,34,male,rational,no,40,highway
Mercedes Benz,2000,50,female,rational,yes,28,urban
Hyundai,1300,41,male,rational,no,39,highway
Audi,<900,71,female,speedy,no,35,highway
Kia,1500,50,male,rational,no,38,highway
Audi,1500,25,female,rational,yes,45,highway
Skoda,1500,75,male,rational,yes,28,highway
Skoda,1500,32,male,distracted,no,28,highway
Mazda,2000,39,male,rational,no,45,rural
Opel,1600,51,female,rational,yes,35,highway
Audi,1500,46,female,speedy,yes,35,urban
BMW,1600,38,male,nervous,yes,36,urban
Ford,1400,32,female,rational,yes,49,urban
Opel,1300,64,female,rational,yes,26,highway
Mercedes Benz,2400,53,male,rational,yes,37,highway
Nissan,1400,62,female,rational,no,25,urban
Opel,1300,32,female,rational,yes,46,urban
Peugeot,1000,58,female,speedy,yes,46,highway
Toyota,1400,28,male,speedy,yes,49,urban
Ford,2000,31,female,rational,yes,35,highway
Volvo,2000,47,male,speedy,yes,35,highway
Toyota,1600,29,male,distracted,yes,30,urban
Peugeot,1600,33,female,rational,no,47,urban
Seat,1300,41,male,rational,no,42,urban
Ford,1600,25,female,rational,no,47,highway
Hyundai,2000,34,female,rational,no,42,rural
Kia,1500,68,female,speedy,no,44,highway
Nissan,1500,18,female,rational,yes,39,urban
Fiat,1000,36,male,distracted,yes,42,highway
Toyota,2000,77,female,nervous,yes,44,highway
Peugeot,1000,26,female,rational,yes,29,urban
Toyota,1500,63,male,nervous,no,44,urban
Citroen,2000,47,female,rational,no,46,urban
Nissan,2000,36,male,distracted,no,28,rural
Audi,>2400,60,male,speedy,yes,26,highway
Ford,1300,23,male,rational,yes,48,highway
Suzuki,1600,43,male,rational,yes,38,highway
Toyota,1500,41,male,nervous,yes,39,highway
Peugeot,2000,42,female,distracted,yes,28,urban
Toyota,1300,41,female,rational,yes,42,highway
Dacia,1400,40,male,rational,yes,35,highway
Ssangyong,1600,46,male,rational,no,29,urban
Hyundai,1600,60,male,rational,yes,44,highway
Peugeot,2000,53,female,speedy,no,36,urban
Volkswagen,1600,52,female,distracted,yes,45,highway
Citroen,2000,65,male,rational,yes,32,highway
Citroen,1000,76,male,rational,yes,39,urban
Ford,1600,20,male,distracted,yes,49,highway
Volkswagen,2000,45,male,rational,yes,35,urban
Hyundai,1300,59,male,speedy,yes,40,urban
Kia,1600,25,male,speedy,yes,47,rural
BMW,1300,32,male,speedy,yes,47,highway
Skoda,2000,72,female,distracted,yes,26,highway
Audi,1000,27,male,rational,no,47,urban
Nissan,2000,53,male,rational,no,30,highway
Nissan,1400,43,male,speedy,no,34,urban
Opel,2000,20,female,speedy,yes,31,highway
Vauxhall,2000,52,female,nervous,no,31,highway
Nissan,1600,50,male,rational,no,38,rural
Ford,1600,21,male,nervous,no,32,highway
Ford,1600,43,female,rational,yes,45,highway
Audi,1000,29,male,rational,yes,45,highway
Skoda,2000,25,male,rational,yes,28,highway
Mercedes Benz,1600,28,female,rational,yes,31,urban
Vauxhall,1600,73,female,rational,yes,38,highway
Citroen,1600,22,female,speedy,yes,45,highway
Audi,2000,36,female,rational,no,41,highway
Renault,2000,26,female,rational,no,45,highway
Toyota,1400,54,female,speedy,no,38,highway
Mini,2000,57,female,rational,yes,45,highway
Kia,2000,74,male,speedy,yes,47,urban
Hyundai,2000,28,male,rational,no,46,urban
Nissan,1500,39,female,nervous,no,34,highway
Toyota,2000,36,female,rational,yes,44,urban
Hyundai,2000,70,female,rational,yes,44,highway
Skoda,2400,25,male,speedy,no,42,urban
Audi,2000,22,male,speedy,yes,47,urban
Nissan,1600,32,female,rational,yes,26,highway
Toyota,2000,39,female,rational,no,34,highway
Volkswagen,1500,32,male,speedy,no,48,urban
Volkswagen,1500,55,male,rational,no,26,urban
Hyundai,1300,53,female,rational,no,47,urban
Renault,1400,63,male,nervous,yes,31,highway
Peugeot,2000,26,male,rational,no,33,urban
Audi,1500,26,male,slow,no,25,highway
Opel,1500,53,female,speedy,yes,49,highway
Kia,1300,52,female,speedy,yes,33,highway
BMW,1600,29,female,rational,yes,47,highway
Skoda,1600,43,male,rational,yes,31,highway
Hyundai,1000,52,male,speedy,yes,31,highway
Toyota,2000,59,female,nervous,yes,36,urban
Nissan,2000,47,male,speedy,no,33,urban
Volkswagen,1300,35,female,rational,yes,30,urban
Renault,1600,31,female,rational,yes,44,urban
Toyota,1500,52,female,rational,yes,30,rural
Volkswagen,2000,29,female,distracted,yes,35,highway
Ford,2000,28,male,nervous,yes,42,highway
Vauxhall,2000,28,female,speedy,yes,29,urban
Mercedes Benz,1300,21,female,speedy,yes,27,urban
Volkswagen,1600,21,male,slow,yes,38,highway
Toyota,1300,39,female,rational,yes,37,urban
Volkswagen,1500,31,male,rational,yes,41,highway
Audi,1400,71,female,rational,yes,36,highway
Ford,2000,43,male,speedy,yes,34,rural
Ford,2000,46,male,speedy,yes,43,highway
Nissan,1600,51,male,nervous,yes,31,urban
Audi,1600,43,male,rational,yes,25,urban
Citroen,2000,29,female,rational,yes,30,urban
Peugeot,2000,60,male,rational,yes,34,highway
Vauxhall,1600,77,male,speedy,yes,26,urban
Opel,1500,23,male,rational,yes,37,highway
Hyundai,2000,68,male,rational,yes,36,highway
Ford,1600,36,male,speedy,yes,39,urban
Mercedes Benz,1600,63,male,rational,yes,37,highway
Toyota,1400,33,male,speedy,yes,37,highway
Ford,1400,59,male,distracted,yes,34,highway
Nissan,1300,36,male,rational,yes,28,urban
Hyundai,1300,22,female,rational,yes,49,highway
Toyota,2000,49,female,distracted,no,48,highway
Toyota,1500,73,male,rational,yes,43,urban
Peugeot,1600,36,male,distracted,yes,33,highway
Nissan,1400,60,male,rational,yes,30,urban
Opel,1300,22,male,rational,yes,26,urban
Vauxhall,1400,29,female,speedy,yes,32,urban
Audi,>2400,32,male,speedy,yes,48,highway
Vauxhall,1600,42,female,distracted,yes,47,urban
Toyota,2000,33,male,rational,yes,34,highway
Honda,2000,33,female,nervous,no,45,urban
Volkswagen,1400,25,male,rational,no,46,urban
Dacia,1500,75,male,slow,no,28,urban
Citroen,1600,53,female,speedy,no,40,highway
Audi,1400,32,male,slow,no,42,highway
Ford,2000,55,male,rational,yes,39,urban
Nissan,2000,25,male,rational,yes,40,urban
Toyota,1600,34,female,rational,yes,29,urban
Toyota,1600,52,female,rational,yes,27,urban
Volkswagen,1500,47,female,speedy,no,37,urban
Kia,1400,24,male,slow,no,30,urban
Honda,1400,43,male,speedy,no,43,highway
Volkswagen,2000,75,female,rational,no,43,highway
Vauxhall,2000,27,male,rational,yes,48,urban
Volkswagen,1400,26,male,rational,no,43,urban
Ford,<900,42,female,speedy,no,32,highway
Hyundai,1300,63,female,rational,no,27,highway
Hyundai,1400,27,female,rational,yes,32,urban
Volvo,2000,48,female,rational,yes,46,highway
Ford,1600,26,female,rational,yes,29,urban
Hyundai,1600,26,male,rational,yes,25,rural
BMW,2000,34,female,rational,no,43,urban
Nissan,2000,32,female,rational,yes,35,highway
Volkswagen,1300,54,male,speedy,yes,26,highway
Nissan,2400,56,female,rational,yes,28,urban
Kia,1600,21,male,rational,yes,47,highway
BMW,1600,46,female,rational,yes,29,highway
Peugeot,1600,59,male,rational,no,49,urban
Skoda,1000,36,female,nervous,yes,40,urban
Mini,>2400,51,male,speedy,no,42,urban
Hyundai,1300,32,female,rational,yes,28,highway
Citroen,2000,34,male,rational,yes,40,urban
Nissan,1300,48,female,distracted,yes,37,urban
Renault,2000,41,female,speedy,yes,45,highway
Vauxhall,1300,83,male,rational,no,26,urban
Peugeot,2000,81,female,speedy,no,30,highway
Toyota,1500,54,female,rational,yes,25,urban
Volkswagen,1600,63,male,rational,yes,39,highway
Nissan,1500,42,male,rational,no,30,urban
Volkswagen,1600,40,male,rational,no,25,highway
Suzuki,1600,75,male,slow,no,49,highway
Kia,1300,58,female,rational,yes,26,highway
Opel,1400,41,female,rational,yes,30,urban
Audi,1600,50,female,rational,no,30,urban
Skoda,1300,41,male,rational,no,29,highway
Audi,2000,39,male,rational,yes,41,urban
Peugeot,1600,51,female,rational,yes,41,highway
Volkswagen,2000,22,female,speedy,no,25,urban
Volkswagen,>2400,29,male,rational,yes,47,highway
Nissan,1600,28,male,rational,no,36,highway
Audi,1500,60,female,speedy,yes,25,urban
Ford,1600,31,male,rational,yes,29,rural
Nissan,2000,28,female,rational,yes,27,highway
Kia,1600,39,male,rational,yes,43,urban
Audi,2000,21,female,slow,yes,33,highway
Opel,1500,51,male,distracted,no,41,urban
Hyundai,2000,40,male,rational,yes,39,highway
Nissan,1500,20,male,rational,yes,39,urban
Volkswagen,1300,33,female,rational,no,36,urban
Mercedes Benz,2000,36,male,rational,no,48,rural
Skoda,1600,70,male,rational,no,33,urban
Renault,2000,26,male,speedy,yes,38,urban
Suzuki,2400,44,female,rational,yes,44,urban
Volkswagen,1400,38,female,speedy,yes,41,highway
Suzuki,1600,58,male,speedy,no,28,urban
Renault,1400,29,male,rational,no,43,rural
Mini,2000,72,female,speedy,no,36,urban
Nissan,<900,59,female,speedy,yes,28,highway
Citroen,1600,26,male,distracted,yes,48,highway
Ford,1600,37,female,rational,yes,33,highway
Peugeot,1600,31,male,rational,no,25,highway
BMW,1600,45,male,speedy,no,34,urban
Mazda,2000,32,female,rational,no,44,urban
Toyota,2000,33,female,speedy,yes,29,urban
BMW,1600,23,male,rational,no,33,highway
Hyundai,1600,42,female,rational,no,39,highway
Nissan,1500,37,female,rational,yes,39,urban
Nissan,2000,28,male,rational,yes,46,urban
Volkswagen,2000,27,male,rational,no,42,urban
Hyundai,1000,44,female,rational,no,48,highway
Nissan,1600,45,male,slow,yes,45,highway
Kia,1300,28,female,rational,no,44,highway
Ford,2000,28,male,rational,no,35,highway
Renault,1500,61,female,rational,no,43,highway
Toyota,1400,48,female,rational,yes,26,urban
Honda,2400,53,female,speedy,yes,47,urban
Nissan,2000,35,male,rational,no,32,urban
Toyota,2000,67,male,slow,yes,42,highway
Nissan,2000,40,female,rational,yes,42,urban
Toyota,2000,45,male,rational,yes,33,urban
Seat,1500,25,female,speedy,no,38,highway
Dacia,1600,42,female,rational,yes,27,highway
BMW,1600,31,male,rational,yes,41,highway
Volkswagen,1000,29,male,rational,yes,27,urban
Renault,1600,20,female,speedy,yes,27,highway
Renault,1300,27,male,rational,yes,39,highway
Jaguar,1600,55,female,rational,no,34,highway
Volkswagen,1300,56,female,rational,yes,46,highway
Seat,1600,63,male,rational,yes,47,urban
Ford,1600,29,male,slow,yes,30,urban
